sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
fish,Fis-25779,Dischistodus perspicillatus,White damsel,280563,NA,LC,0.2,5.9393939393939394,1.187878787878788,2.3749023440717174e-5
fish,Fis-53903,Lutjanus russellii,Russell's snapper,218473,NA,LC,0.2,5.938293475051668,1.1876586950103336,2.3744623167940696e-05
fish,Fis-25177,Sillago sihama,Silver sillago,127046,NA,LC,0.2,5.93437806072478,1.186875612144956,2.372896714855922e-5
fish,Fis-158770,Diancistrus karinae,Karin's coralbrotula,280531,NA,LC,0.2,5.907651715039578,1.1815303430079156,2.36221002499094e-5
fish,Fis-23230,Pterocaesio chrysozona,Goldband fusilier,213662,NA,LC,0.2,5.901716593739482,1.1803433187478964,2.359836831087357e-5
fish,Fis-31612,Corythoichthys polynotatus,Many-spotted pipefish,278447,NA,LC,0.2,5.854640442532268,1.1709280885064535,2.341013149244947e-5
fish,Fis-23766,Sardinella albella,White sardinella,212268,NA,LC,0.2,5.843739784243216,1.1687479568486434,2.3366544555487965e-5
other,Fis-63099,Hydrolagus pallidus,NA,105827,NA,LC,0.2,5.8415841584158414,1.1683168316831682,2.33579251561307e-5
fish,Fis-114255,Amblyeleotris latifasciata,Wide-barred shrimpgoby,278972,NA,LC,0.2,5.831230283911672,1.1662460567823343,2.331652456697785e-5
fish,Fis-26069,Chirocentrus dorab,Dorab wolf-herring,212257,NA,LC,0.2,5.81264367816092,1.162528735632184,2.3242204907402785e-5
fish,Fis-28954,Anisotremus caesius,Silvergrey grunt,279616,NA,LC,0.2,5.811111111111111,1.1622222222222223,2.32360768459942e-5
fish,Fis-28622,Canthigaster margaritata,NA,219946,NA,LC,0.2,5.804347826086956,1.1608695652173913,2.320903344456067e-5
fish,Fis-150639,Tryssogobius colini,Colin's fairygoby,283068,NA,LC,0.2,5.788806758183738,1.1577613516367478,2.314689155101169e-5
sea turtle,Rep-2785,Crocodylus porosus,estuarine crocodile,344030,NA,LC,0.2,5.781404549950544,1.1562809099901088,2.311729337674727e-5
fish,Fis-142700,Abalistes stellatus,NA,219873,NA,LC,0.2,5.776318988572818,1.1552637977145637,2.3096958454093337e-5
